z,D,f,fsigma8_pred
0.02,0.9894631795688482,0.5399003847034021,0.4332455542429284
0.025,0.9868483468827037,0.5423846430632915,0.4340888669204392
0.067,0.9651833423459428,0.5632882078329805,0.4409215372880774
0.1,0.9485295185588439,0.5796388641426868,0.4458914922196935
0.15,0.9239002687648034,0.6041944780568784,0.4527127017715579
0.32,0.8454819745300105,0.6827290010973791,0.4681376126767624
0.38,0.8197493819691717,0.7078751097629565,0.4706072193402391
0.44,0.7950192565052834,0.7315404843538577,0.47166847069783235
0.57,0.7448062978104473,0.7776110357584106,0.46970652211670255
0.59,0.7374805761805425,0.784099087906407,0.4689670926513233
0.7,0.6990112119909402,0.8172432098641635,0.46329360028689137
0.73,0.6890390975484426,0.8255128788663556,0.46130542160113264
0.74,0.6857631144065719,0.8281973092950917,0.4606051388562293
0.76,0.6792823148242104,0.833476900925562,0.4591607062713443
0.85,0.6512602101021464,0.8557186380959351,0.45196663697524275
0.978,0.6144481685637792,0.8833134047421975,0.44017049575506234
1.05,0.595199138059263,0.8970125191600328,0.4329937661561932
1.4,0.5145327569567797,0.9484605224214019,0.39577935714903795
1.48,0.49870215326215067,0.9575524558408185,0.3872796367859538
1.944,0.4216344982613352,0.9984601400483627,0.3414190249262019
