z,D,f,fsigma8_pred
0.02,0.9895348998982764,0.5363363297412818,0.4304167577965934
0.025,0.9869370030609902,0.5388492482967547,0.4312981135790946
0.067,0.9654076146664925,0.5596439406108703,0.4381707284136808
0.1,0.9488605161176706,0.5755713498582626,0.4429170330948836
0.15,0.9244096370063724,0.5990972144717749,0.44914089502269744
0.32,0.846802251180489,0.6730485624898356,0.4622205370911417
0.38,0.8214049848339728,0.6970276768740451,0.46433155962453987
0.44,0.7970088881100609,0.7197716086899387,0.4652417814632294
0.57,0.7474705801319995,0.7645338168523595,0.4634593405655571
0.59,0.7402422392047231,0.7707921251752318,0.4627345924164828
0.7,0.702291366574495,0.8021054580343205,0.4568458044119801
0.73,0.6924598964779421,0.8096894865568629,0.45470943760048566
0.74,0.6892309851305811,0.8121282656093594,0.4539523437649012
0.76,0.682844904516463,0.8168637604083979,0.45236869496602855
0.85,0.65526057348759,0.8363895022538284,0.444471024251989
0.978,0.6191119409098064,0.8595504619043547,0.43158010081098885
1.05,0.6002527548853522,0.8708288265119566,0.4239238063914376
1.4,0.5212347737938389,0.9215341275499951,0.38955219426996784
1.48,0.5056177800260728,0.9340137705258144,0.3829979567257084
1.944,0.42836597127674997,0.9977570160716356,0.34662557201836036
