z,D,f,fsigma8_pred
0.02,0.9894385099703118,0.5422966627886846,0.4351576058004309
0.025,0.9868108651211243,0.545323718064185,0.4364245299992104
0.067,0.9649529288461113,0.5702209466903464,0.44624167546275795
0.1,0.9480651690927477,0.5890987407907307,0.45294672301032785
0.15,0.9229975379704752,0.6165158407237199,0.46149352811441324
0.32,0.8429347931287937,0.6988548691391882,0.47775122263409286
0.38,0.8166922590625937,0.7239941831568018,0.47952843114633814
0.44,0.7915177274270293,0.7472110003436062,0.4796503174977389
0.57,0.740575732653253,0.7914425062304458,0.4753458254587867
0.59,0.7331648988432161,0.7975681810747258,0.4742314144402572
0.7,0.6943476194611146,0.8283762955649406,0.4664718636272862
0.73,0.6843126512954356,0.8359948458541735,0.463958366193091
0.74,0.6810184137210789,0.8384652355898818,0.4630893127471612
0.76,0.6745049788545859,0.8433054974185707,0.46130794205714454
0.85,0.6463954809809549,0.8635303619065697,0.45268568996121056
0.978,0.6095943410134577,0.8884405361874671,0.43922812953347695
1.05,0.5904036814051709,0.9007676758651855,0.43130321618576073
1.4,0.5102751946688643,0.9481286337711223,0.3923670875525411
1.48,0.49458450587191577,0.9568100605926005,0.3837841942808341
1.944,0.4182093762128534,0.9983559328838366,0.33861018433247214
