z,D,f,fsigma8_pred
0.02,0.9895347878403228,0.5365206502112423,0.43056462810706253
0.025,0.9869358023058209,0.5391160266080517,0.431511119218345
0.067,0.9653860485461587,0.5603568967147492,0.4387191332792864
0.1,0.9488163807287967,0.5764351960766201,0.44356115218048736
0.15,0.924332639631513,0.599801312321477,0.4496313003100681
0.32,0.8467864813705255,0.6708505468451885,0.460702457106126
0.38,0.8215007292034909,0.6930832295966803,0.4617577465823667
0.44,0.7972656525284302,0.7140721026218471,0.4617064651303046
0.57,0.7481990140285605,0.7553703527306583,0.4583507050734456
0.59,0.7410514158447428,0.7612439454547929,0.45750203392185557
0.7,0.703544736232638,0.7913646251655598,0.451532682628423
0.73,0.6938257688207801,0.7990268360585009,0.4496065531106217
0.74,0.6906328013472368,0.8015361467687429,0.44894295047193383
0.76,0.684315775068837,0.8064846968359688,0.44758293792746345
0.85,0.6569892887130951,0.8276441999637715,0.4409839737504392
0.978,0.6210300462259944,0.8548238479386163,0.4305366186502331
1.05,0.6021843879484826,0.8689617320915903,0.42437616946153994
1.4,0.5225670171043245,0.9290689677138583,0.3937411444802996
1.48,0.5067919900506163,0.9405043651383974,0.38655509288517753
1.944,0.4291754562688578,0.9976132173967421,0.3472305407626653
