z,D,f,fsigma8_pred
0.02,0.9862601182901578,0.7048108908716372,0.5637478704314773
0.025,0.9828588359961811,0.7081830069896591,0.5644916072485968
0.067,0.9544919439646463,0.758319705648706,0.587009860750076
0.1,0.9316892487256887,0.8389368598467405,0.633900525073867
0.15,0.8988537641125731,0.7140098547279384,0.5204921417092133
0.32,0.8166185236971482,0.4334542333769067,0.28706706646672553
0.38,0.7982463385057146,0.5232401653468066,0.3387341124371579
0.44,0.7817451976152974,0.4429142798290727,0.2808054675719708
0.57,0.7502939803755256,0.5755663906030648,0.3502252740686175
0.59,0.7444155943470704,0.6690129124057862,0.40389689482408675
0.7,0.7072743900751778,0.661563072094917,0.3794723193686334
0.73,0.6991907248299387,0.6661797152221927,0.37775292295787855
0.74,0.6964722155918921,0.6874590032427078,0.38830352501947535
0.76,0.690745870587092,0.7624429842578635,0.42711645690706024
0.85,0.6679102447576444,0.5920762329789061,0.32071285796144794
0.978,0.6400179033797695,0.6192642759824478,0.32143191361609635
1.05,0.6226011272548894,0.9457115464974933,0.477517402415854
1.4,0.5372699606016083,0.8016764154656878,0.34931123218393423
1.48,0.5231886109183326,0.8833353933259088,0.37480422240779643
1.944,0.445639762690902,0.961900926791637,0.3476441972844251
