reconstruction,z,Delta_H_p16,Delta_H_p50,Delta_H_p84,w_geom_p16,w_geom_p50,w_geom_p84,H_p16,H_p50,H_p84
poly_unanchored,0.0,-2.0149611065135673,-0.8788251254273088,0.5302447803028963,-1.8455527166474226,-1.3870839289874008,-0.737774627313183,67.2814279824201,76.26499298283854,85.76729044542203
poly_unanchored,0.5,-0.3650661817337422,0.05614001423008034,0.4407262612660577,-1.3080869097318433,-0.953254930047059,-0.646469749286218,86.23609919197287,90.36100012906117,94.4382738667606
poly_unanchored,1.0,-0.24667171784344988,0.2873925663966215,0.7841237091219042,-1.39507198299536,-0.6454718163391043,-0.12374661504710145,118.59287234779131,125.1586878826191,131.8172300544665
poly_planck_anchor,0.0,-0.27042394584672313,0.29180508518364656,0.9873723257903463,-1.131646423791516,-0.8579776088487568,-0.5194770298580126,67.35973118360074,67.39046642078841,67.42297638385176
poly_planck_anchor,0.5,-0.2188870173146817,0.16237791875144544,0.5321024854983558,-1.1768239046639406,-0.8758245800935851,-0.6000774894541429,89.0747941050177,92.5497665478131,96.18988714607086
poly_planck_anchor,1.0,-0.4801693296584461,-0.026010248109662345,0.3400297736991057,-1.8377844433183153,-1.0318605045705274,-0.6180521441797785,117.48088891110149,124.07140448537618,130.500422192093
gp_planck_anchor,0.0,0.004291322601176719,0.3679984398433277,0.7154754526890619,-0.9979091576320002,-0.8213701123479183,-0.6517538677879212,66.93725790356814,67.41096554396913,67.92725835135518
gp_planck_anchor,0.5,-0.2529674679961774,0.029219977016365938,0.3621211460578663,-1.21401987181686,-0.9776476354452982,-0.7242789596126582,88.47718517131173,91.81934317416174,94.90062751976184
gp_planck_anchor,1.0,-0.2634595898581843,0.14236804683115065,0.5014777487343758,-1.3816266692316894,-0.8081717429091874,-0.42193364026716734,118.50876978874145,123.80360576933944,129.05574979007255
spline_planck_anchor,0.0,-26.895257683885443,1.3407967872118218,26.905801814805894,-14.106179083076377,-0.34843147314379624,12.077788980194104,66.84268169526672,67.33457478792057,67.88295027254823
spline_planck_anchor,0.5,-652339257650178.1,54.51212452858672,80.60282661139587,-241068247456381.8,21.554285952265353,26.251848356571227,-436.3711049417665,218.46358485204487,831.2533493228041
spline_planck_anchor,1.0,-54.9750548664206,-30.912307027451877,31.468002006464342,-24.56811011871666,-19.179779982274074,-9.002358776549208,95.3123026078925,186.46414500327154,273.61114002228345
bayesian_cpl,0.0,-0.2749428235453126,0.45170417639441035,0.9921225455599048,-1.133868775448421,-0.7800666910337031,-0.516938727273287,67.36,67.36,67.36
bayesian_cpl,0.5,-0.27260664703742604,-0.006760293688153285,0.23875830542620002,-1.2299945845910962,-1.0055089856142914,-0.8190339392495979,87.63229622549412,90.91582330189004,94.2561484335045
bayesian_cpl,1.0,-0.2767153128747825,-0.06329842724549442,0.19462660973734117,-1.5268883571224987,-1.0933249324586753,-0.7678841115134167,117.1150277728787,121.2627978782311,126.08560189557208
